Lieu : Mnémonique;Programme : Code;Programme : Libellé;Programme : Etat;Programme : Date de création;Programme : Droit : Personne : Responsable : NOM Prénom : Liste
145-P-002;CHIMIE_ECHPASS_DGT;Suivi des contaminants chimiques (métaux) par échantillonneurs passifs DGT;Actif;18/07/2013;AMOUROUX Isabelle|DESTISON Leo|DUVAL Magali|LE ROUX Alois|MAUREL Laurence|MUNARON Dominique|NOGUES Christophe
145-P-053;CHIMIE_ECHPASS_POCIS;Suivi des contaminants chimiques par échantillonneurs passifs POCIS;Actif;18/07/2013;AMOUROUX Isabelle|CIMITERRA Nicolas|DESTISON Leo|DUVAL Magali|LE ROUX Alois|MAUREL Laurence|MUNARON Dominique|NOGUES Christophe
145-P-054;CHIMIE_ECHPASS_SBSE;Suivi des contaminants chimiques par échantillonneurs passifs SBSE;Actif;18/07/2013;AMOUROUX Isabelle|DESTISON Leo|DUVAL Magali|LE ROUX Alois|MAUREL Laurence|MUNARON Dominique|NOGUES Christophe
145-L-584;DECHETS_PLAGES_MAYOTTE;Programme de surveillance des déchets sur les plages de Mayotte;Actif;06/12/2019;BEAUVAIS Sophie|BIROLLEAU Annie|DUVAL Magali|JAC Cyrielle|JULHES Ilona|LEDOUX Yolene|LEPEIGNEUL Oriane|MAUREL Laurence
145-P-002;DECHETS_SEDIMENTS_MICROPLASTIQUES_ROCCH;ROCCH sédiment - volet Microplastiques;Actif;24/06/2024;GROUHEL-PELLOUIN Anne
145-P-407;EI_DECHETS_FOND_PLONGEE_MAYOTTE;Etude d'Impact des macrodéchets sur les récifs coralliens à Mayotte;Actif;04/05/2020;BIROLLEAU Annie|DUVAL Magali|JAC Cyrielle|LEDOUX Yolene|LEPEIGNEUL Oriane|MAUREL Laurence|MULOCHAU Thierry
145-S-285;EI_MAYOTTE_BLANCHISSEMENT_PCS_BENTHOS;Etude d'impact du blanchissement sur les peuplements coralliens - Mayotte - protocole PCS;Actif;18/05/2021;DUVAL Magali|MAUREL Laurence
145-P-419;EI_MAYOTTE_PAMANDZI_BELT_POISSON;Etude d'impact de la piste longue de l'aéroport de Pamandzi - suivi Belt Poisson;Actif;25/01/2021;DUVAL Magali|MAUREL Laurence
145-P-415;EI_MAYOTTE_PAMANDZI_PIT_BENTHOS;Etude d'impact de la piste longue de l'aéroport de Pamandzi - suivi PIT Benthos;Actif;25/01/2021;DUVAL Magali|MAUREL Laurence
145-P-003;ETUDE_PROSPECTIVE_DCE_2012;Etude Prospective DCE 2012 (campagne exceptionnelle);Gelé;29/03/2012;LE MOIGNE Morgan
145-P-324;FRANGEANT-MAYOTTE-PHOTOQUADRAT-BENTHOS;Suivi des récifs frangeants à Mayotte par photo-quadrats;Actif;13/05/2016;BIROLLEAU Annie|DUVAL Magali|JAC Cyrielle|LEPEIGNEUL Oriane|MAUREL Laurence|SCHOLTEN Naomi
